result_type,fold,k,model,accuracy,macro_f1,mae
cv_fold,1,3,multinomial_logreg,0.49394245670776904,0.2878795373154941,1.0159153695842598
cv_fold,1,3,random_forest_cls,0.4728791860386766,0.38166027498217847,0.9060844956539317
cv_fold,1,3,hist_gradient_boosting,0.5084158749410417,0.32168986705795816,0.93631156930126
cv_fold,1,3,bagging_linear,0.4940233137928711,0.28659070756115357,1.0182063203288187
cv_fold,1,3,stacking_lsvc_logreg_rf,0.5089279698133549,0.3176803835183811,0.9404622330031669
cv_fold,1,3,ridge_regression_round,0.3125395862812479,0.26564913175486676,0.9577656492150125
cv_fold,1,3,ordinal_logistic,0.492230981739775,0.30520300216211416,1.016238797924668
cv_fold,1,3,xgboost_cls,0.5066370190687959,0.31861722589110497,0.9443164207263661
cv_fold,1,5,multinomial_logreg,0.5067852570581497,0.3065588334782049,0.9684387844484873
cv_fold,1,5,random_forest_cls,0.4918806010376659,0.3970552644516309,0.8461289670507378
cv_fold,1,5,hist_gradient_boosting,0.5213934370999259,0.34331082167052135,0.874914089347079
cv_fold,1,5,bagging_linear,0.506798733239,0.30464252007503095,0.9695034027356647
cv_fold,1,5,stacking_lsvc_logreg_rf,0.5220268175998922,0.34205689797462446,0.8805606091233744
cv_fold,1,5,ridge_regression_round,0.3206118186106058,0.27313564528981027,0.9352469510140826
cv_fold,1,5,ordinal_logistic,0.5040226399838286,0.3247501652799717,0.9607034566403881
cv_fold,1,5,xgboost_cls,0.5200458190148912,0.3376218986706956,0.8841452732295667
cv_fold,1,8,multinomial_logreg,0.5100734451856344,0.3113566960342559,0.9473485614176942
cv_fold,1,8,random_forest_cls,0.502445926824338,0.4033881329449322,0.8216831749882083
cv_fold,1,8,hist_gradient_boosting,0.5267030523549626,0.35358923079321275,0.8477056802102284
cv_fold,1,8,bagging_linear,0.5097769692069267,0.3095268920701594,0.9493295600026952
cv_fold,1,8,stacking_lsvc_logreg_rf,0.5246951014082609,0.3455927929788986,0.8600094333265953
cv_fold,1,8,ridge_regression_round,0.3283606225995553,0.2808534980132281,0.9225658648339061
cv_fold,1,8,ordinal_logistic,0.5066100667070952,0.3293477863283257,0.9377265682905465
cv_fold,1,8,xgboost_cls,0.5250589582912203,0.3446200809699814,0.8605080520180581
cv_fold,1,10,multinomial_logreg,0.512660871908901,0.31478643353886276,0.9384677582373155
cv_fold,1,10,random_forest_cls,0.5095343979516205,0.402840514263694,0.815497607977899
cv_fold,1,10,hist_gradient_boosting,0.5319857152482986,0.3643006600872265,0.8275857422006603
cv_fold,1,10,bagging_linear,0.512350919749343,0.3131840274386254,0.9407721851627249
cv_fold,1,10,stacking_lsvc_logreg_rf,0.5292635267165285,0.3613814683722011,0.8415740179233205
cv_fold,1,10,ridge_regression_round,0.32745771848258204,0.281019840520866,0.9228892931743145
cv_fold,1,10,ordinal_logistic,0.509008826898457,0.33194054769353154,0.9275250993868338
cv_fold,1,10,xgboost_cls,0.5312849538440806,0.3562706220689555,0.8441614446465872
cv_fold,2,3,multinomial_logreg,0.5032747560778394,0.29329456828054534,0.9807288016818501
