result_type,k,model,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_mae,std_mae
cv_summary,10,hist_gradient_boosting,0.5363038866214348,0.0053755852456639705,0.36404660924665483,0.0036127341383005557,0.8207917967070719,0.01418712787761853
cv_summary,10,xgboost_cls,0.5351907409709615,0.005201338806734555,0.3550421456482145,0.0029844346462387697,0.8357505143619086,0.014210356952509735
cv_summary,10,stacking_lsvc_logreg_rf,0.5327461342689701,0.0049728477042482785,0.359291593152392,0.003456008787038113,0.8322251049161288,0.014487598899089944
cv_summary,8,hist_gradient_boosting,0.5312367885745988,0.00748769354532226,0.3560689653161931,0.004467550728433802,0.8416854948367198,0.01801469511914152
cv_summary,8,xgboost_cls,0.529846032399983,0.007214756645164304,0.34742044643625686,0.004330934984308384,0.8548410853645303,0.017022169546225326
cv_summary,8,stacking_lsvc_logreg_rf,0.5287301905689683,0.006926896147363328,0.34977136025442085,0.004539604637797558,0.8527037356222487,0.01867148166589839
cv_summary,10,bagging_linear,0.5174882422755653,0.005769257434105808,0.31430615294160524,0.0043198613305387235,0.9281145469996627,0.020573495833014578
cv_summary,10,multinomial_logreg,0.5174747650776995,0.00554363910973946,0.31581427528429085,0.004133512805246754,0.9268019555070934,0.01996910878933097
cv_summary,5,hist_gradient_boosting,0.5166230354335694,0.008807944350507206,0.33627699488547746,0.00505471276750364,0.906223721324755,0.02658372102829738
cv_summary,5,stacking_lsvc_logreg_rf,0.5166122526364681,0.006927935340870075,0.3325827281308597,0.0053769613016608556,0.9094499472788282,0.02116487362585438
cv_summary,5,xgboost_cls,0.5150867337452995,0.008891678641179367,0.3320019572331482,0.003946331136790091,0.9163983501016839,0.027874065388637435
cv_summary,10,ordinal_logistic,0.5143132202877826,0.005437554825030427,0.3342444136546178,0.006681034608408967,0.9167620949676584,0.022471866690257098
cv_summary,10,random_forest_cls,0.5141353308867502,0.003187478168051634,0.40296216912484867,0.0028438590656537635,0.8036067718785833,0.01166991589705302
cv_summary,8,multinomial_logreg,0.5123268015917061,0.006154904106104312,0.3096463065946449,0.0022033375235970837,0.9506955222129226,0.017994682360065087
cv_summary,8,bagging_linear,0.5120950089564735,0.006205979641503515,0.3079114320655886,0.002484734687711675,0.9522237363765834,0.018190904314932053
cv_summary,5,linear_svc,0.5089280685762751,0.0013169696917306347,0.28090649970810244,0.0029226758895353113,0.9784809822567611,0.010581307477567185
cv_summary,8,ordinal_logistic,0.5084159705404918,0.006419067339745974,0.3259276954122202,0.0038034228617520446,0.9439789290966301,0.019783240665838038
cv_summary,3,hist_gradient_boosting,0.5079550740772063,0.005583802860175477,0.3186339695235207,0.00419773126840965,0.9489193673883637,0.015001204306435484
cv_summary,3,xgboost_cls,0.5071195443991724,0.0057802806388488675,0.31647482137371497,0.003057235259490034,0.9530296363634825,0.01333558278892125
cv_summary,3,stacking_lsvc_logreg_rf,0.507076413864563,0.0056080645992121515,0.31501969260436175,0.0032525927846234672,0.9554877352643173,0.014625022096969049
cv_summary,8,random_forest_cls,0.50503071951397,0.005378469011042991,0.4032770138792202,0.0022057224880747536,0.8191180483985365,0.010281410629438636
cv_summary,3,linear_svc,0.5041655446316919,0.006413168552891767,0.27990576705715764,0.0032272334052498536,0.9939005780100203,0.01929856232445151
cv_summary,5,multinomial_logreg,0.4990660697933883,0.007970781462317231,0.3053683817910765,0.0033365954804479444,0.9986605346375278,0.02376901775701244
cv_summary,5,bagging_linear,0.49896634467486056,0.007823530120161813,0.3038358504205908,0.003853865437688652,1.000075549826417,0.023899576376333404
cv_summary,3,bagging_linear,0.49789635592875375,0.008481916343444312,0.29130756133912755,0.004242152477030882,1.0086868141708794,0.026875177744808878
cv_summary,3,multinomial_logreg,0.4978855750567174,0.008617345235038983,0.2929144863454991,0.004588696574714655,1.0071855535675447,0.02633909981658078
cv_summary,5,ordinal_logistic,0.4957859306165706,0.008345973623068596,0.3162631626380843,0.005422323652970371,0.9981430631678705,0.027606582972229808
cv_summary,3,ordinal_logistic,0.4952846417147816,0.008825946642134345,0.30871857745419595,0.00674595045350944,1.0062044735087112,0.031146403653662884
cv_summary,5,random_forest_cls,0.4835251687763435,0.007494623874814814,0.38927912718208696,0.005093735940073663,0.8793519321627754,0.021202387774625898
cv_summary,3,random_forest_cls,0.46773900900440396,0.0066506015603087715,0.37361071471606705,0.006483284742384593,0.9286887335332444,0.018503642096747222
cv_summary,10,ridge_regression_round,0.3292536050409184,0.0020021265906032515,0.28014386119620344,0.0037124818751049686,0.91756529866505,0.0077004084926566305
cv_summary,8,ridge_regression_round,0.32479023136051266,0.00431395562044587,0.2751180375297545,0.005265848625033774,0.9283544753224493,0.008913971181011317
cv_summary,5,ridge_regression_round,0.3137665877531707,0.004716298545421828,0.2645468574332417,0.005620647763118703,0.9540915981700421,0.012431102711255559
cv_summary,3,ridge_regression_round,0.3116562111487621,0.0023779169291704098,0.26259469019343423,0.002188332483608466,0.9588972083293374,0.008599215317299999
